"","Isocode","Country","Year","PopMale","PopFemale","PopTotal","GrowthRate","PopDensity","GDP","CO2","TFR","LEx","LExMale","LExFemale","CO2.norm","GDP.norm","PopTotal.norm","TFR.norm","Tech"
"106266","CRI","Costa.Rica",1988,1487.931,1436.417,2924.348,2.5939,57.228,4560.96772925784,0.274249165967935,3.323,75.263,73.075,77.669,1.04750625823791,0.960812128785995,0.94991052608841,1.04661417322835,0.60129600174251
"106343","CRI","Costa.Rica",1989,1526.805,1474.391,3001.196,2.5448,58.732,4698.36223095464,0.270225603392781,3.254,75.474,73.275,77.882,1.03213809125366,0.989755614356386,0.974872919110322,1.02488188976378,0.575148509436819
"106380","CRI","Costa.Rica",1990,1565.951,1512.6,3078.551,2.484,60.246,4746.99225021307,0.261811482090113,3.175,75.683,73.474,78.092,1,1,1,1,0.55153130296002
"106454","CRI","Costa.Rica",1991,1605.158,1550.821,3155.979,2.4287,61.761,4745.08316085515,0.288341589091689,3.09,75.895,73.676,78.304,1.10133286282855,0.99959783179384,1.02515079334401,0.973228346456693,0.607663931941975
"106510","CRI","Costa.Rica",1992,1644.485,1589.083,3233.568,2.4059,63.279,5056.19316301281,0.319770606339499,3.002,76.107,73.88,78.517,1.22137731999636,1.06513617391852,1.05035388401881,0.945511811023622,0.632433524649913
"106561","CRI","Costa.Rica",1993,1684.425,1627.882,3312.307,2.4239,64.82,5284.00388869977,0.325452924502469,2.917,76.319,74.084,78.73,1.2430811739206,1.11312671480822,1.0759305270564,0.918740157480315,0.615921054105343
"106631","CRI","Costa.Rica",1994,1725.662,1667.913,3393.575,2.463,66.41,5377.58976254053,0.423447249581931,2.835,76.532,74.288,78.943,1.61737463231725,1.13284148763865,1.10232866046397,0.892913385826772,0.787429440102701
"106703","CRI","Costa.Rica",1995,1768.604,1709.593,3478.197,2.51,68.066,5436.6864008257,0.381519505651922,2.758,76.744,74.492,79.157,1.45722984571245,1.1452907681873,1.12981626745829,0.868661417322835,0.701750068927975
"106782","CRI","Costa.Rica",1996,1813.465,1753.14,3566.605,2.5308,69.797,5343.3119525952,0.363090389880573,2.686,76.954,74.695,79.37,1.38683906061691,1.12562053421414,1.15853367379654,0.845984251968504,0.679523099347068
"106817","CRI","Costa.Rica",1997,1859.851,1798.169,3658.02,2.499,71.586,5502.38842975207,0.371785829492458,2.616,77.159,74.892,79.577,1.42005165901965,1.15913153839783,1.18822783835642,0.823937007874016,0.675680814320864
"106923","CRI","Costa.Rica",1998,1906.82,1843.765,3750.585,2.4012,73.397,5822.47016966382,0.386606356075119,2.548,77.356,75.083,79.778,1.47665928548562,1.22655986417557,1.21829555527909,0.80251968503937,0.663990273560201
"106975","CRI","Costa.Rica",1999,1953.072,1888.662,3841.734,2.2611,75.181,6157.8945985225,0.392010482766376,2.481,77.545,75.264,79.969,1.49730057534852,1.29722027632257,1.24790331555332,0.781417322834646,0.636598234176391
"107019","CRI","Costa.Rica",2000,1997.653,1931.935,3929.588,2.1126,76.9,6135.72161673427,0.379938049485086,2.414,77.721,75.434,80.15,1.45118940717166,1.29254932245968,1.27644076710115,0.760314960629921,0.61922308934105
"107081","CRI","Costa.Rica",2001,2040.231,1973.257,4013.488,1.9823,78.542,6086.33738248866,0.39143009771052,2.345,77.884,75.588,80.319,1.49508377014494,1.28214605410731,1.30369384817728,0.738582677165354,0.643129148306377
"107163","CRI","Costa.Rica",2002,2081.005,2012.835,4093.84,1.8707,80.114,6162.14041240493,0.421364782209368,2.275,78.033,75.728,80.476,1.60942056034173,1.2981146982341,1.32979443900718,0.716535433070866,0.683796139018714
"107239","CRI","Costa.Rica",2003,2120.217,2050.928,4171.145,1.7866,81.627,6455.85692660225,0.433214381183104,2.204,78.172,75.858,80.623,1.65468060348093,1.35998893326874,1.35490527848978,0.694173228346457,0.671040864301042
